,source,target
7084,what the hell are you,what are you
7085,and another slut will turn up with her empties at his little hatch she ll tell him how good he looks he ll invite her for a cup of coffee,she goes by the window again the one who can tell him what he looks like and he invites her to a coffee shop smokes a cigarette even though the doctor has told him to stop
7086,queen of all whores,queen of em all
7087,now he won t look like a fool if he talks to himself,now when milo talks to himself it won t seem crazy
7088,shut up son,be quiet son
7089,most people wouldn t recognize another state s junior senator if he ran up and bit them in the ass,most of them wouldn t recognize the new senator even if they were hanging right under their noses
7090,we appreciate your efforts mcclane but we can t need a full blown fool out here,we appreciate your effort but we don t need a loose cannon here
7091,bastards we ve been planning this for months,we ve been planning her for months
7092,lenny will come through but he will rape that russian for every ruble he can get,lenny will be like honey but he ll take the russian out of every ruble as long as he can
7093,wow when you said you had some notes you really had some fucking notes,when you said you were taking notes i didn t know you meant literally
7095,shoot me with them,take me with them
7096,i told you to call the fucking house,i told you to stop calling me
7097,i want you to have a heart attack and die so we never have to do this again,i want it to cut with you and so we can never have to do this again in our lives
7098,if an ass goes a travelling he ll not come back a horse,if the donkey goes on the road he won t come back as a horse
7099,i ejaculate on that on this,on that on this
7100,now fuck off,now off
7101,why not simply vaporize them,why didn t they just fire them
7103,damn we overloaded,we overloaded the batteries
7104,but now this year mother fat,but this year mother
7105,you re not like making it like you know like yo what up you re not you don t be doing none of that shit,you don t you know hey what s up you don t do anything like that
7106,the whole place is a fuckin war zone lnside and out,there s a war zone inside and outside
7107,stupidity asked the doctor,folly said the doctor
7108,shoot him,look get him
7109,he never fucking touched him ref,he didn t even touch him
7112,you have hundreds of bitches in seconds,make hundreds of julienne carrots in seconds
7113,you know what would kick ass,you know what would be dope
7114,don t try to steal your drinks cause the bitches are here here and here,do not try to steal drinks from flight attendants cause those hos are located here here and here
7115,you can usually tell us they ve doing the voting by looking at the fucking election returns,that you usually recognize elections when the election results are published
7116,i m going nowhere till she s sucked me off,i m not going anywhere until he s smoked it for me
7117,didn t i tell you how we beat up one little bitch who bullied my daughter na mi,didn t i tell you about when we beat up na mi s daughter s bully
7118,niggas,never
7119,i will have them raped by dogs,i ll let you have your dogs
7120,you fucking kidding me,you ve got to be kidding me
7122,mike can i see you by my stupid pool,can you come to the pool mike
7123,a nigger killer,the crow killer
7124,bastards they ate all my chocolates,they ate all my chocolate
7125,brother he s crazy,brother she is mad
7126,you know you is me only bitch,you know you re my only dog
7127,you want me to make you three passports that s gonna get your ass thrown in jail,do you want me to make three passports that will put you in jail
7129,whole damn thing came down,the whole thing fell
7130,i don t understand this magazine look at her butt,i don t understand this magazine
7132,listen to me trash,listen tradesman
7133,stupidest thing i ever said,i never said that
7135,maybe what you wanna somebody shot him is that what you wanna hear,maybe nobody shot him you want to hear this
7136,you shut up and started writing,you became a recluse and started writing stories
7137,cause you wouldn t want it to look like someone was playing a pussy in her head,well that s good cause you wouldn t want it to look like someone s playing tic tac toe on her head
7139,but i ve fooled vampires for a long time and that damned powerful vampires,but i d fooled vampires before master level vampires
7140,a month if the little bastard was good with keys and codes,or a month if the crindl really did well in wedges and codes
7141,you were just looking for a fool like every other,you re just looking for a handout like every other
7142,you re gonna put some cotton on your vagina,you line your scabbard with cotton
7143,put a goddamnmember on the phone,give me a member on the phone
7144,i can handle my shit,i can handle my things
7145,they even gave me a fucking slot so i could put on my virgin mary,i ve even got blu tack for sticking up the virgin mary
7147,shit we don t owe rent do we,we don t owe the rent do we
7148,shut up at least you tried,at least you tried
7149,don t waste your time on those junkyard losers,don t waste your time on sub zero birdies
7150,that s when we grab them armed and loaded and when all the shit goes down you walk into one of our secured vehicles,then we go to them when they re armed and when the tumult falls you ll get in our safe car and we ll take you and your family
7151,she s just going up and down on his dick so slowly so that he knows exactly how blonde her pussy is,she rides his bird up and down so slowly so she knows exactly how she has a light pique
7152,sit down dick they re trying to open up the safe not your maid,they re trying to open a safe not your mistress
7153,you shouldn t have fucking told me,you shouldn t have told me
7154,listen did you talk to that son of a bitch,no listen you talk to the punk
7155,you re high on balls aren t you,you re high as a kite aren t you
7156,who s pi ata now moron,who s the pinata now bleep
7157,well it sucks that all we have in common is a serial killer,it s bad enough that only a serial killer connects us
7158,the damned,bloody
7160,shit it s noodles,oh god noodles
7161,he fucked you,he tricked you
7162,for fuck s sake please cook,for god s sake cook
7163,but you damn up my creek you shut off my water,but you cut me off the water
7164,shoot him not the missile,him but not the rocket
7165,mel burke you are a great and powerful witch,mel burke a great and powerful sorceress
7166,strutt useldinger montini they re all dirty,strutt useldinger montini
7167,at the fucking jailhouse all night trying to bail tommy out of a dui shitstorm,i was in the prison all night and tried to get tommy out on bail on his drunken trips
7168,and no one looks after you except for the father of that son of siegel who looks at you all the time because he wants to fuck you up,and no one is looking at you except for that siegel kid s who always looks at you because he wanttoang you
7169,you re an embarrassment to liam,you re embarrassing liam
7170,you re afraid claudette was the better detective so you treat me like a piece of shitbecause if we start tanking you can paint me as the guythat dragged you down,you re worried that claudette was a better detective and you were taking care of me with a rag because if we we d go down you could blame it on me
7171,that s some of the best shit i ve ever heard,that was the best thing i ve ever heard
7173,shut your eyes,close your eyes
7174,you shouldn t be in such a pathetic condition with your talent,with your talent you shouldn t be in such a deplorable state
7175,get yourself shot,take a shot
7176,don t be disgusting,ew don t be so gruesome
7178,coach keeps stepping on the balls,coach s running for the ball
7179,darren if uncle jack helped you out of an elephant would you help him jerk off an elephant,darren if your uncle jack helped you off an elephant would you help your uncle jack off an elephant
7180,the soldiers stared over olson through him around him wooden faced deaf and dumb,the soldiers stared past olson through him around him stony faced deaf and mute
7181,mom george call this is fucked up,george call an ambulance
7182,they re incompetent,they re powerless
7183,i crap bigger than you,i tamed bigger than you
7185,i can t imagine what carrie might have told wolcott about doris to make him want to fuck her,i can t imagine what carrie could have told wolcott about doris about wanting to sleep with her
7186,you know you know what s so stupid about this,you know what s so bad about all this
7187,hey why don t you guys take dick cheney with you,why don t you take dick cheney
7188,you re ugly,that s bad
7189,don t be a pussy,don t be a baby
7190,i walk in there s these damn baseball bats up on the wall right,i m going to look at the bats on the wall
7191,one morning i gave this guy a big dick and one of the derailments,i gave one to the water bottle man this morning and one to the rat control fellow
7192,he came to kill me rachel,he s come to get me rachel
7193,i ve never known you to fuck up like this,i ve never known you to mess up like this
7194,the c is for chaos it s actually for composite but yeah don t bump into shit,c as in chaos actually it s c as a thing but you re never gonna find it anywhere
7195,damn calm down,calm down
7196,i fucked off and i suppose she phoned you,so i went away and i assume she called you
7197,why don t you save that shit for somebody who gives a fuck,why don t you keep this for someone who s worth it
7198,why should i cover her ass,why should i cover for her
7199,how many pussies did you have,how many chicks have you had
7200,that job was a fucking joke,this job was some kind of a joke
7201,you can tell the japs that he s a homosexual or a forger or something like that,you can tell the yellow that it s a stud or a fake or something
7202,do you want us to sit with the hooker,are we to sit down with hobbledehoys
7203,and this is the sound of me saving your ass,and this is me saving your skin
7204,they re too stuffy to fuck that fast,they re too prudish to sting so early
7205,i almost ate that bitch,i almost ate one of these things
7206,if you fools stay awake all night you need some nutrition,if you dweebs are staying up all night you need some nutrition
7207,this is a very serious jackass,this is a very serious blunder
7209,give me death by the sword,give me the sword
7210,i see you pay for these trucks so i have to indulge some fucking white girl s idea of heroism right,you paid for those cars and i m supposed to honor the idea of a white guy right
7211,my god you re a slob,oh my god you re a mess
7212,shit you re smoking a joint yoli,you smoke a joint yoli
7213,what you shitting me,are you kidding me
7214,it makes it even harder to officially complain y know even when they re wrong its this its this passive aggressive shit you know what i mean its,it gets harder to resist you know even though they re wrong it s such a passive aggressive disguise you know what i mean
7215,he s a biter,he s biting
7216,hey except for that damn civil war thing and meals i m staying in my bed the entire winter break,hey except for hygiene and food i ll spend the whole winter without a break in my bed
7217,helping you i get to mind fuck the police the mayor and the fire department in one shot,the fact that i m helping you means that i can go to the cops the mayor and the firemen you know
7218,you want to smoke that shit do it outside my truck,if you want to smoke get out of my car
7219,what the fuck,what the
7220,you better hope it s clean better hope ain t shit on this record,you better hope there s nothing there and i can t find anything in the record
7222,get the fuck out of the car,get out of the car
7223,are we humans what the elite would have us believe stupid greedy creatures who if left of our own devices would evolve into violence and chaos,are we the people who make us believe an elite a stupendous little creature who would evolve into violence and chaos after abandoning our own resources
7224,the voices in your head are you crazy as your aunt,do you hear them the voices in your head
7225,the lsd might fuck him up,the lsd could have taken him away
7226,look at me jerking off in the shower,just look at me taking him in the shower
7227,if he rolls his balls off oleg should look out for a doctor,if a ball is rolling around up there oleg should stop and see a doctor
7228,that means he s sitting on the phone like an asshole,it means he s sitting by the phone like a dumbbell waiting for me to call him back
7229,a dirty cop he s done a lot of thinking about himself,bent cop done a bit of time big opinion of himself
7230,yes you re very smart shut up,yes you re very clever
7231,you ve got balls cop,you have guts cop
7232,no i suggest you kill dalton,no i propose to dalton
7233,that stunned me damn it,that impressed me
7234,son of a bitch did you think i d let my wife get hurt,you thought i was going to let you hurt my wife
7235,each jerk widens the cut the hook makes and then when he does jump he might throw it,each twitch extends the blow of the hook and when the fish starts to jump it could spit it out
7236,did i tell you i had a dream last night that you gave me a blow job,i told you i had a dream last night how d you smoke it for me last night
7237,don t worry about my anger at you for your ignorant mistakes,have no fear that my wrath will fall upon you because of your innocent mistakes
7238,everyone who says it i want to shut up,the more the merrier whoever says that i want them to stop
7239,the proper girl in the hat just eye fucked the shit outta me,the righteous in the hat gave me an eye wink
7240,granny fucking,wink wink
7241,they are useless here in japan anjin san,they re of no use in japan anjin san
7242,no i m saying i feel like shit,no i m saying i m sick
7244,did not you sucked,she didn t blow it out for you
7245,what the hell is wrong with you,what s going on with you
7247,it takes balls to do what you re doing,it takes courage to do what you want
7249,the man behind the wheel was wearing a blue velvet ribbon on his head into which a large dick had been planted,the man behind the wheel was wearing a straw hat with a blue velvet band and a big feather tucked into it
7250,total fucking fairy tales,totally messed up fairy tales
7251,that s my fucking baby,she s my baby
7252,sit your ass down,why don t you sit down
7253,ross lanten raped me,ross lanten me the cello
7255,oh shit he thought seeing one guy with an akms,no he thought seeing the guy with a kalashnikov in his hand
7256,he will if you agree to take a fucking photo,will be if you agree to take a photo
7257,ridiculous words,fancy words
7258,screw you bridey,bugger off bridey
7259,he fucked us all,he played us all
7260,kyle i think we ve done something stupid,kyle i think we may have gotten into something bad here
7263,your heads are shoved so far up your asses you can t see what s right in front of you,your heads are so deep you can t see what s right in front of you
7264,we just lost power in the lab bob goddamn him,we lost the power in the lab bob
7265,yep that s a damn shame,yeah it s a terrible shame
7266,no i s not true shut up,no it s not true
7267,yo you owe me on that bitch,you owe me pizza
7269,peih gee when amanda was talking about shit do you think she doesn t know what this game is or is she sure she s not going anywhere,peih gee when you hear amanda say it s fun does that make you think she has no clue what this game is about or she s extremely confident that she s not going anywhere
7270,aren t you crazy again,you re not being mental again
7272,damn it get in the car judith,get in the car judith
7273,damn,whoo
7274,i got my fucking nunchucks,i have my nunchucks
7275,i m happy to tell her don t be stupid,i ll be happy to tell her
7277,you find him you fucking find my brother,you found him you found my brother
7278,shit i m out of ideas,man i m out of ideas
7279,keep the fucking ball,hold on to the football
7280,big ass teeth,teeth like a shark
7281,damn this thing s good,the thing is good
7282,one fine ass motherfucker with pretty new eyelashes,one thick cat with hot new eyelashes
7284,it was a dumb idea,it was a douche move
7285,don t fucking open it then,then don t open it
7286,honey i m going to fill up all your sexual fantasies,baby i m gonna make all your fantasies come true
7287,a fucking piece of cake every move you make s a sign of stress,it s a toy everything you do is a sign of stress
7290,what the fuck was that,what was that thing
7291,this whole thing this whole stupid thing was that so pilot could chase after some fantasy girl,this whole this whole thing was for a pilot to prosecute some girl from his fantasy
7292,i mean you ve been full of shit for a long time so,i mean you ve been up here for quite a while yapping so
7293,oh i m sure you put up a huge fight but then you felt the tip of your cock slide into her mouth and it were all warm weren t it and wet and grabby,i m sure you fought your way out of your mind but as soon as you felt the grief had fallen into her mouth it was all very warm moist and vivid wasn t it
7294,fuck off,sod off
7295,but if i know you you ll find a way to recover the money those sons of bitches stole from me,but knowing you i m sure you ll find a way to bring back my money
7296,i came to tell you i m tired of waiting tired of the bullshit,i m here to tell you i m tired of waiting and lying
7297,now we ve seen face to face and if i have to kill you i don t want to,now that we ve been face to face if i m there and i gotta put you away l won t like it
7298,what the fuck s happenin,what s going on
7299,what do you want to do stab me,what are you gonna do stake me
7300,fuck yourself with your logic,with logic you get on my back
7301,i need some pussy,i need some poontang
7302,goddamn do you know the meaning of the word harassment,do you know the meaning of harassment
7304,goddamn talk on the phone all day,you ve been on the phone all day
7306,you know i had my doubts but it s no act you really are dumb aren t you,you know i had my doubts but you re really tough aren t you
7307,yes he appreciates it max but take your ass home,he appreciates it max but you should fall
7308,someone s writing this shit up,one of the ones who s writing about it
7309,they ve been getting pussy nonstop for years,listen they ve spent years nonstop
7310,you don t find him ridiculous in the field,you don t find it funny in the field
7311,i hope you don t totally rely on him because we have to get in the damn closet,i hope you won t be relying on him totally because we ve still got to break into that bleedin cupboard
7312,you idiot what did you do,what have you done
7313,damn good lads,pretty dang good lads
7314,do you have a big dick,do you have a big weiner
7315,and i ll kill the dragon,and i slay the dragon
7316,no damn right,no hell of a job
7317,to hang my husband,hang my man
7318,shut up,stop it
7319,mr fajo is foolish if he believes he can keep me here,mr fajo is deluding himself if he believes he can keep me here
7320,shut shut up,quiet quiet
7321,why do not you say anything bitch,why didn t you say anything
7322,he said i like shit,he said i love turds
7323,they all have a good background they lead a useless life,they are all well grounded actually leading a meaningless life
7324,you might as well help him but don t be silly,you can help him if you want but no messing about
7325,you know when you drink with your husband s food all day he s gonna kick his ass in five minutes and he won t even thank you a little bit of you will die,you spend the whole day making a beautiful meal for your husband and he gobbles it downin five minutes and he never says thank you and a little piece of you dies
7327,you can trust me god damn it,you can trust me for god s sake
7328,what the fuck are we doin,what are we doing
7329,damn ennis,christ ennis
7330,i never gave you my shit,i never gave you my yo yo
7331,don t play stupid lad,don t fool yourself boy
7332,it was a stupid joke and i ll find out what it is even if i m supposed to demolish the house,it s only a prank and i ll find out what s behind it even if i have to tear the whole building apart
7333,listen to your instincts trust your cock,find your instincts trust your birdness
7334,and if anybody had known where this would lead they would ve been better off making fucking novenas,no one could have known where he would lead all this but if they had they would have done better if they started praying
7335,we have to stab my father,we gotta get my father out
7336,you bet your ass she does,you bet he does
7337,let go of me or i ll kill her,let me through i ll do her
7338,i can t understand your stupid ass speak english,i don t understand you dude speak english
7339,your dad will be insane,your dad s going to be furious
7340,listen um if something happens to me shut up jack,listen if something happens to me
7341,then why didn t you leave then you stupid shit,then why didn t you go back then
7342,shut up,quiet bud
7343,the girls are completely crazy,the girls have gone wild
7344,if you re crazy i forgive you,if you ve gone mad i forgive you
7345,what the fuck utah,what does it mean utah
7346,why would mrs hallet put her own keys through her own goddamn office mailbox,why would mrs hallett throw her own keys into her own stationery box
7347,such an arrogant girl,a girl so vain
7348,and puss,and kocour
7349,what the fuck is going on,what s going on here
7350,shoot daddy,go ahead dad
7351,when the russians come and you re still here you ll all die,when the russians come everyone is in here
7352,rachel you are now crazy no one is talking to anyone,rachel you are next it s getting crazy in
7354,shit sorry it wasn t meant for you,i m sorry it wasn t for you
7355,he s fuckin lying the way it works,he s lying like he s printing
7356,you fucked at the museum,you got laid in an art museum
7357,screw it joe,forget it joe
7358,stay down damn it,you stay the hell down
7359,i lookin at your ugly asses and guess what i m thinkin,i m looking at your faces and you know what i think
7360,graduate of the vagina,vagina graduate
7361,now get into the damn boat or make your peace with god,get on that ship or get ready to meet god
7362,you re not a whore,you re not
7363,shit everybody s afraid of me,everyone is afraid of me
7364,hey queer bait where you going with those bags man,hey buster where you going with the bags mate
7365,wasn t but two seconds ago your pasty pilgrim ass was sitting at that front seat and nobody was feeling you,and two seconds ahead of you your pasta spatula is sitting there on chairs in front and nobody even knew about you
7366,you pussies wanna go home,so you pines do you want to go home
7368,oh shit,oh jesus
7369,shut up charlie,hush charlie
7370,fuckin is just not on the menu tonight,it s not on today s menu
7372,brian i m throwing your ass out for not paying rent,brian you re fired because you don t pay the rent
7373,go grab the black actress and marry her,go grab that spirited actress and make her your own
7374,why is this fucking cold,why is it so cold in here
7375,even the new mom wants you dead,even the new mother
7376,return to your bed don t be stupid,come back to your bed
7377,stupid joke i have to say,a bad joke i must say
7378,i haven t got a fucking clue where he is,i have no idea where he is
7379,no damn it,hell no
7380,so if i were you i d sit on my butt,so i d sit tight if i were you
7381,shut up,silence
7382,i thought you were dead you asshole,i thought you weren t alive you punk
7383,i don t know i m making this shit up as i go along,i don t know i m about to see how it goes
7384,if we don t get out of here shut up,if we don t get out of here
7385,just had to get the fuck outta there,we just had to get out of there
7386,listen i want to delete you,listen they want me to beat you
7387,got it you remember that goddamn shot from reel,you know this picture from the th
7388,same reason all beautiful women are bitches,for the same reason women are beautiful women
7390,god it s so stupid,oh my god that s so trippy
7391,who do you think gave saddam all his fucking weapons,and who do you think gave saddam the gun
7392,she ll know who wants rebekah dead,he ll know who killed rebecca
7393,damn how lovely it was,how beautiful it was
7396,but damn the more i think of it the angrier i get,hell the more i think about it the more excited i am
7397,because she was ready for sex,cause she was ready to hook up
7398,she s horrible,it s appalling
7399,we will not have fornicators,we will not suffer fornication
7401,didn t i tell you to put some goddamn clothes on,didn t i tell you to put clothes on
7402,i suck them frozen,i could be frozen
7403,a little bit of practice and she can shoot a girl,a little bit of practice even a girl can make that shot
7404,he thought she was dumb and she was blind too,he thought he was mute and blind
7405,i don t know why i didn t say yeah straightaway i m a dick,i don t know what i m talking about
7406,you re sick poor guy right,you re having a bad time eh
7408,let s get fucked up,let s get a hand
7409,i was in the hospital for a week damn bill,i spent a week in the hospital
7410,fuck it it s one night,it s one night
7411,what the hell is wrong with you,jesus what is wrong with you
7412,get the fuck out of here,get out of here
7413,how d that thing get away from us russ damn it how d it get away,how could this thing have escaped us russ
7414,oh yeah we know about the tits,yeah yeah we know all about the buttons
7415,damn it i am late for my rounds,hell i m late for my shift
7416,i like your tits,i like your tatts
7417,fuck it we should go back,man we should go back
7418,like secret shit,like a mystery
7419,the beast saw him coming and looked at him through stupid lustreless eyes,the creature saw him come and looked at him with a dull dim view
7420,here s the key to your house and your ass can stay in the barn,okay here s the key to your house and your ox can stay in the barn
7422,fine go aheadand let your wretched family starve,all right just go ahead and let your poor family go hungry
7423,fuck the world,they destroy the world
7424,every day for two months i ve done this stupid thing and i still can t figure out across,every day for two months and across the world i still don t know
7425,do you want to have sex with me,you want to love me now
7427,get this shit out of here,get that thing out of here
7428,shut up shut up henry says grabbing pete s shoulder and giving it a shake,quiet man henry says rolling over his shoulder and shaking him vigorously
7429,spence don t be ridiculous okay,spence don t tease okay
7430,we told him to fuck off like gave him a chance but he wouldn t go,so we told him to fire we gave him a chance but he didn t
7431,no way danny could have had that much shit,there s no way danny s got that much
7432,bat shit,bat dren
7433,i don t know how the fuck he got this,i don t know how he got to her
7434,shells in joe masseri s ass,pills in joe masseria s gut
7435,yo my sister said she saw some fucker in a suit down there just chillin,my sister said she saw some guy in his jacket
7436,mom s tired and obnoxious,mama s tired and cranky
7437,did you forget that someone was in there with a goddamn hand cannon,have you forgotten there s someone hidden away with a cannon in the hand
7438,so i think we should fuck,so i think we should get laid
7439,you want to play pussy,you want to play tic tac toe
7441,because the last time we met i tried to kill you,because the last time i tried i did
7442,i never thought i d live to see the day when you sound like an asshole,i never thought i d see the day when you d talk like a punk
7443,so much for sneaking onto this bloody planet he groused,so it ends up sneaking up on this planet he shrugged
7444,you think other guys hang out and watch their friend s naked gyrating butt,do you think other friends meet and watch their naked friend in bed
7445,what did those bastard spies know about the navy,what do the spies know about the navy
7446,who the fuck are you kidding,who are you kidding
7447,anyone got a fucking problem with what i just done eh,does anyone have a problem with that
7448,garlic against a buffoon,garlic to keep out the boogy man
7449,shut the fuck up,lock up when you leave
7451,lift your damn cups,lift your cups
7452,but i didn t stop it there because i figured what the fuck,but i didn t stop it i said well what
7453,otherfucking assholes like me,the same pricks like me
7454,the last time your father saw you he called you a little pussy,last time dad seen you he called you a
7455,just don t go in that fucking house,don t go in the house
7457,you can t dance for shit,you can t even dance
7458,don t make a fool of me,don t fool me for a minute
7459,i should have destroyed them just like those of colombia,i should have destroyed these like i destroyed the letters from colombia
7460,don t try that reverse psychology a level bullshit on me,don t try this reverse psychology
7461,damn girl you gave up immortality for me,girl you gave up immortality for me
7463,fuck sleep,screw sleep
7464,i have nothing to do with this shit,i have nothing to do with this mess
7465,that is the weirdest fucking toy,that s the weirdest toy in the world
7468,they should be out there killing those machine guns,they should be up and out cleaning out those machine guns
7469,just don t give her my shit,just don t give it to me
7470,the briefcase was fucking empty man,you threw out an empty suitcase instead of an empty suitcase
7471,what the fuck,what the
7472,br no wants peace either we gonna have peace or we gonna have motherfucking war,and if we don t have peace we have a lot more wars
7473,will you shut up,will you be quiet
7474,you just had sex with him,you just slept with him
7475,shut up,quiet
7476,everybody shut up,everyone will be quiet
7477,fat and fucking flour,fat and flour
7478,i can t believe you still wear that same stupid hat,eldon i can t believe you re still wearing that hat
7479,my cousin timmy says you got more balls than anybody,my cousin says you re the boldest
7480,that shit never gets old right,this line never gets old does it
7482,you know with all the jujitsu crap you do how the hell did you get hit by accident in a staged fight,with all this jib jitsu you know how can he accidentally get a shot in an arranged fight
7483,shut up,shh quiet
7484,what about the fucking dope,what about the drugs
7485,don t you ever fucking come in here again you know what,don t you dare show up here again
7486,i can have the kids from the neighborhood come over and bounce up and down on them at a fucking party,i can go home and invite kids around and they can jump on them like they re at a party
7487,jack hid his balls cancer,jack kept us from testicular cancer
7488,nah frank s all trying to shave me and shit,no it s just frank pushing me to shave
7489,what kind of shit is that,what is this stuff
7490,jenn wasn t listening you know and now i look like a fool,jenn didn t listen and then i looked like
7491,they cut us to fucking pieces,they cut us to pieces
7492,shit ari,jesus ari okay
7493,you stink too,stink of em too
7494,or we can pick up a beautiful girl and we can both fuck her in the woods but we d have to bury her,or we can pick up a real beauty have her in the woods but then we d have to bury her
7495,oh honey you re not a whore,oh honey you ain t no harlot
7496,you re in my world bitch,you re in my world
7497,it had wings big fucking wings,it had wings big wings
7498,because you re idiots come on silicon red let s sell out,come on silicon red let s sell the concert
7500,so i don t give a fuck it tastes the same,well i don t care it tastes the same
7502,shit you re russian right,you re russian aren t you
7503,you ve laughed smugly at them idiots,you laughed at them smugly
7505,what s the fucking problem,what s the problem
7506,she s always fucking drinking,she drinks all the time
7507,oh i got you sucker,i ve got you punk
7508,you ll tell us what we want to hear or you ll watch him die too,tell us what we want to know or you will be looking at how he dies
7509,it s a scale one end is a perfectly accomplished task and the other is when it s done on your ass and we re closer to c,it s a scale really with a perfect mission on one end and then a total pooch screw on the other and we re more on this
7510,shit man i gotta be somewhere,hell i have to go somewhere
7511,that man messed up with mr woody got his ass suspended,the man was hanging out with mr woody he was suspended for that
7512,i don t want to be a dick but that could hurt somebody,i don t want to be bummed but he can hurt someone
7513,if you knew you had the runs why didn t you shit back at the house,when you knew you had to run why didn t you pick yourself up in the house
7514,i said get your shit and get out of here,i said pack up and get out
7515,whoo that sucker can sing,whoo that little peanut can sing
7516,fuck it whatever,okay whatever
7518,they raped her three times or more,she could have been used three or more times
7519,you re useless koya,they re no use to you kolya
7520,man you know when you re here alone i feel like you stink,boy you know when you re just here alone i can really smell ya
7521,shut up did she yell at us like i was working on you,quiet shouted at us what signs i madeat you
7523,old things are dumb,old things are bad
7524,isn t that a fucking combination,isn t that a terrific combination
7525,he il just hire more and more goons until we are all dead,let s hire more and more people until it s over
7526,get in the fucking car,let s get in the car
7527,if possible to be captured kill if there is no remaining,capture if possible terminate if necessary
7528,damn we re out of range,we re out of range
7530,when i said no she flipped out she threatened to fuck up my parole,when i got rid of him she threatened to jam it up for me
7531,that why we found his body in your mama s garbage bin,is that why i found his body in your mother s bin
7532,not the bastard son of jenny fields,are you the son of jenny fields
7533,shit we don t even know if we re wanted,we don t even know if they re looking for us
7534,she had flown over with joel to ge neva where he had three days of conferences with the promise of five days off to go skiing at mont blanc a bonus from john brooks the brilliant international negotiator of talbot brooks and simon who flatly refused to give up some reunion dinner for what he termed lizard shit meetings between idiots our boy can do it,he flew with joel to geneva for three days and then waited five days for the ski slopes in the vicinity of mont blank a courtesy of john brooks an outstanding specialist in the international law firm talbot brooks and simon who preferred to strike abiturient and falsely refused to take part in a sit down with the idiocies that our young man calmly can handle himself
7535,i m gonna have you you giant green monster,i m gonna give you my jolly green giant
7536,he s gonna kill a cop and he s out,bad guy kills a cop and nothing happens
7537,fucker,prick
7538,in any case even if he was sniffing around and fucking like a dog in the bushes does it matter,anyway even if he s in the bushes like a dog he doesn t care
7539,my blood family my hometown all that shit moves back a row,the blood family the birth town it all goes in the background
7540,if life was fair i d have gotten a new bike for my birthday instead of that stupid car,if life was fair i d get a new round for my birthday
7541,and you you gotta stop wasting your time with this patient x crap alex,and you should stop spending so much time with that patient x
7542,i can t walk or fuck,i can t walk i can t hump
7543,but i can kill you the other replies,but i can he replies
7544,where should i stab your frenchman,where will you stick your frenchman
7545,don t fuck up your pants but when you fuck your pants up you change em,don t sh your pants but if you do sh your pants change your pants
7546,everyone s happy there stony said or at least until this fucking universe holds together,everybody s happy there forever said stony or as long as the bloody universe holds together
7547,i m not kidding scumfuck,i m not kidding
7548,i came all the way last night and now i know your job sucks,i got robbed yesterday and i know now your job is the bad one
7549,your fucking valentine s hearts,your valentine s heart
7550,so either these motherfuckers are a pair of neighborhood yo s who lucked into on a street stickup or or they re pros who set up in an alley on one side of the tracks then slip over to the other side where they park their ride,it was either the guys in the neighborhood who got lucky and they got in the robbery or the pros who took the ambush in the aisle at the line and then ran the tracks and had a car there
7551,oh harlan i gave you a blow job,oh harlan i just gave it to you
7552,don t be stupid,don t be fooled
7553,they re big like fucking asteroids,they re big as fracking asteroids
7554,don t make me fucking do this man,don t make me do this
7555,tito you re going to shit,tito you ll get into a mess
7556,ed you expect me to send my people in on something like that and i stay home and fucking knit socks clark demanded heatedly,ed do you expect me to just send my people somewhere and stay at home and stare into the wall clark asked indignantly
7557,the secret is that they ll fuck you up,the secret is they get you wasted
7558,god help her miserable soul,god help poor people
7559,you want some pussy or something,will you have a piece of pie or something
7560,the guy s a loser he said,this guy s a nobody he said
7561,you either come in here and help me up or i ll shoot your head off,you come here and help me get up or i ll blow it off
7562,erm last week i shoved a cock shaped potato up myself,last week i stuffed a potato shaped potato out there
7563,we re not the orovers said pan dan chee we re ugly to kill people,we orovars are not like that said pan dan chee we hate to kill people
7564,find out who the fuck that is,now find out who it is
7565,here s a slug for your head,i have a lead here for your mace
7566,you gave him permission to drink like a pig,did you give him permission to get drunk
7567,you had sex with her in our bed,you slept with her in our bed
7568,shit well you re the one who said we didn t have time to stop for gas,you were the one who said it wasn t time to go for gas
7570,just remember gale he s a nasty piece of work,remember gale he s a sharp guy
7571,shit l spoke to fran,i talked to fran
7572,your sister is gonna take over the damn family business,your sister will take over the family business
7573,then you know what the fucking world is,then you find out what the world is like
7574,she looks like a goldfish with pussy feet,he looked like a golden powder puff with little cat feet
7575,all because this fool xerxes opened the door for them,all because xerxes had foolishly opened the door for them
7576,shoot,here
7578,get the fuck outta here,get out of here
7579,shit how does it go,how does it go
7580,go to hell,let go of me
7582,look asshole i have two bodies in ten bags on the corpse and you were the last one to see them,i got two bodies in ten body bags and you were the last person to see either one
7583,shit wesson where are you,wesson where are you
7584,you know this shit business,you know this cow business
7585,we were walking off the yard when this fucker hit me with something,we went off the field and this punk hit me with something
7586,you ain t gonna fucking believe this he s only gone and killed chris,you re not gonna believe this he killed chris
7587,you re gonna end up in jail or in the morgue or some shit,it s gonna end up in prison or in the nursery
7588,then we graduated and everybody started getting jobs and getting married and having kids and all that other stupid shit,then we graduated and they all started looking for jobs getting married they started up a family and all of a sudden look at me
7589,yeah you screwed up,yeah you did
